SKU_ID,Warehouse_ID,Forecast_Model,Demand_Forecast_AI,Forecast_Daily_Rate,Forecast_MAPE_Pct,Forecast_WAPE_Daily_Pct,Forecast_Bias_Pct,Forecast_Sigma_Daily,Avg_Daily_Demand,Demand_Std_Dev,Units_Sold_YTD,Zero_Day_Share,Is_Intermittent
SKU-0001,WH-SIN-01,combination,1075,35.827,23.4,55.8,23.4,22.884,38.414,23.954,9862,0.0,0
SKU-0002,WH-SIN-01,holt_winters,110,3.669,0.5,53.2,0.5,2.352,2.997,2.228,800,0.074,0
SKU-0003,WH-SIN-01,combination,259,8.649,9.8,44.9,9.8,4.755,9.189,5.614,2323,0.011,0
SKU-0004,WH-SIN-01,seasonal_index,1543,51.417,11.6,38.7,11.6,23.699,52.411,31.842,12362,0.0,0
SKU-0005,WH-SIN-01,seasonal_index,131,4.357,6.5,50.3,-6.5,4.342,5.384,3.958,1507,0.033,0
SKU-0006,WH-SIN-01,combination,47,1.572,5.8,56.2,5.8,2.045,2.893,2.49,689,0.14,0
SKU-0007,WH-SIN-01,snaive,11507,383.558,5.8,36.4,-5.8,191.582,373.584,231.378,86132,0.0,0
SKU-0008,WH-SIN-01,combination,35569,1185.623,76.8,80.0,76.8,1275.646,1424.542,1017.491,368618,0.0,0
SKU-0009,WH-SIN-01,combination,251,8.353,9.3,49.1,-9.3,4.961,5.841,4.926,1359,0.036,0
SKU-0010,WH-SIN-01,holt_winters,301,10.024,16.8,37.0,-16.8,5.858,10.751,7.138,2372,0.014,0
SKU-0011,WH-SIN-01,combination,430,14.324,5.6,31.6,-5.6,8.424,14.871,11.329,3377,0.016,0
SKU-0012,WH-SIN-01,seasonal_index,1236,41.196,44.1,50.9,44.1,44.238,66.625,42.214,17634,0.0,0
SKU-0013,WH-SIN-01,combination,87,2.887,13.7,55.7,-13.7,2.536,3.011,2.518,774,0.14,0
SKU-0014,WH-SIN-01,combination,864,28.791,14.1,27.0,-14.1,11.451,28.992,17.624,6660,0.0,0
SKU-0015,WH-SIN-01,seasonal_index,1073,35.756,14.5,57.6,14.5,26.163,46.334,30.816,11169,0.0,0
SKU-0016,WH-SIN-01,combination,597,19.894,29.1,48.0,-29.1,11.622,19.773,14.295,4591,0.008,0
SKU-0017,WH-SIN-01,seasonal_index,241,8.035,14.2,40.6,14.2,5.674,10.31,5.262,2745,0.003,0
SKU-0018,WH-SIN-01,combination,407,13.559,9.8,39.8,-9.8,8.79,16.17,10.168,4105,0.011,0
SKU-0019,WH-SIN-01,snaive,235,7.833,6.5,44.9,6.5,7.107,9.014,5.791,2257,0.008,0
SKU-0020,WH-SIN-01,seasonal_index,283,9.424,19.8,43.8,-19.8,4.703,8.093,4.561,1981,0.022,0
SKU-0021,WH-SIN-01,combination,739,24.62,11.4,39.2,11.4,14.508,24.849,13.863,6368,0.0,0
SKU-0022,WH-SIN-01,combination,214,7.146,45.1,67.3,45.1,5.654,8.91,7.35,2189,0.03,0
SKU-0023,WH-SIN-01,seasonal_index,234,7.799,15.6,46.2,15.6,7.881,9.29,7.16,2577,0.005,0
SKU-0024,WH-SIN-01,seasonal_index,2231,74.383,4.8,37.0,4.8,42.297,80.753,45.137,19415,0.0,0
SKU-0025,WH-SIN-01,combination,3286,109.518,4.0,41.7,-4.0,82.079,112.77,73.914,28804,0.0,0
SKU-0026,WH-SIN-01,combination,1384,46.148,6.1,62.7,-6.1,28.403,34.534,24.711,9578,0.0,0
SKU-0027,WH-SIN-01,combination,1253,41.777,30.6,44.8,-30.6,19.71,31.058,19.831,7159,0.0,0
SKU-0028,WH-SIN-01,combination,931,31.017,6.9,33.4,6.9,16.096,26.112,15.548,6000,0.0,0
SKU-0029,WH-SIN-01,seasonal_index,426,14.195,14.0,34.4,14.0,7.155,15.57,7.031,4020,0.0,0
SKU-0030,WH-SIN-01,combination,85,2.838,73.7,86.8,73.7,3.416,3.655,3.115,939,0.096,0
SKU-0031,WH-SIN-01,seasonal_index,1686,56.196,7.2,39.6,-7.2,33.459,60.134,34.779,14130,0.0,0
SKU-0032,WH-SIN-01,combination,407,13.581,17.9,52.5,-17.9,6.124,11.222,9.959,2079,0.003,0
SKU-0033,WH-SIN-01,holt_winters,4697,156.566,11.4,50.4,11.4,88.596,141.175,101.742,34451,0.0,0
SKU-0034,WH-SIN-01,holt_winters,1472,49.051,2.9,30.2,-2.9,31.9,53.696,36.556,12394,0.0,0
SKU-0035,WH-SIN-01,snaive,829,27.642,10.5,43.5,-10.5,17.402,28.378,18.974,6463,0.0,0
SKU-0036,WH-SIN-01,combination,214,7.145,11.9,78.8,11.9,6.409,6.781,5.612,1589,0.041,0
SKU-0037,WH-SIN-01,combination,131,4.367,17.4,68.8,17.4,4.205,5.967,4.352,1527,0.041,0
SKU-0038,WH-SIN-01,combination,2450,81.676,13.6,50.8,-13.6,46.213,77.342,42.358,19333,0.0,0
SKU-0039,WH-SIN-01,combination,273,9.099,0.1,53.7,0.1,7.903,9.274,7.707,2398,0.052,0
SKU-0040,WH-SIN-01,combination,646,21.524,7.3,33.8,-7.3,10.335,18.849,12.374,4373,0.008,0
SKU-0041,WH-SIN-01,combination,37,1.226,81.1,146.0,81.1,1.902,1.644,1.693,400,0.285,0
SKU-0042,WH-SIN-01,combination,2926,97.541,23.5,47.1,23.5,51.929,94.896,61.18,21320,0.0,0
SKU-0043,WH-SIN-01,combination,347,11.58,2.5,43.4,-2.5,8.4,13.392,9.528,3343,0.0,0
SKU-0044,WH-SIN-01,combination,87,2.913,5.0,56.5,-5.0,3.166,3.463,3.202,857,0.151,0
SKU-0045,WH-SIN-01,combination,988,32.932,27.9,48.0,27.9,17.143,35.364,18.603,8456,0.0,0
SKU-0046,WH-SIN-01,combination,1380,45.992,2.5,32.6,2.5,25.7,50.756,23.147,13127,0.0,0
SKU-0047,WH-SIN-01,combination,295,9.826,10.3,40.8,-10.3,6.853,10.162,7.463,2576,0.036,0
SKU-0048,WH-SIN-01,seasonal_index,351,11.685,20.1,52.3,-20.1,6.229,8.83,6.448,1968,0.041,0
SKU-0049,WH-SIN-01,seasonal_index,174,5.801,16.1,57.9,16.1,5.392,7.049,5.222,1774,0.027,0
SKU-0050,WH-SIN-01,seasonal_index,335,11.164,6.6,41.9,-6.6,9.37,12.751,8.508,3392,0.003,0
SKU-0051,WH-SIN-01,combination,720,24.008,19.9,54.3,-19.9,17.127,28.203,17.788,6741,0.0,0
SKU-0052,WH-SIN-01,combination,3209,106.966,4.2,53.1,4.2,77.12,121.759,79.457,30431,0.0,0
SKU-0053,WH-SIN-01,snaive,45,1.5,1.7,77.3,-1.7,1.69,1.874,1.562,416,0.211,0
SKU-0054,WH-SIN-01,combination,146,4.878,10.5,45.9,-10.5,4.624,5.556,4.486,1426,0.058,0
SKU-0055,WH-SIN-01,snaive,300,9.983,12.4,43.9,-12.4,8.878,11.071,7.873,2687,0.014,0
SKU-0056,WH-SIN-01,combination,2956,98.546,20.5,31.1,-20.5,45.384,78.433,42.754,19340,0.0,0
SKU-0057,WH-SIN-01,snaive,379,12.633,0.7,41.5,0.7,7.376,12.537,6.744,3366,0.0,0
SKU-0058,WH-SIN-01,combination,23,0.762,6.8,107.4,-6.8,0.998,0.784,1.003,186,0.499,1
SKU-0059,WH-SIN-01,holt_winters,640,21.345,8.6,48.4,-8.6,12.219,17.205,12.871,4180,0.008,0
SKU-0060,WH-SIN-01,combination,3615,120.509,21.2,41.4,21.2,100.606,180.123,137.667,40901,0.0,0
SKU-0061,WH-SIN-01,croston_sba,39,1.315,1.1,95.8,-1.1,1.75,1.556,1.698,387,0.323,1
SKU-0062,WH-SIN-01,combination,1228,40.919,21.3,52.6,-21.3,22.365,32.548,23.52,7532,0.005,0
SKU-0063,WH-SIN-01,snaive,139,4.625,16.7,54.8,16.7,4.402,4.844,4.45,1194,0.066,0
SKU-0064,WH-SIN-01,combination,1252,41.719,30.7,45.4,30.7,30.07,46.162,30.389,11281,0.0,0
SKU-0065,WH-SIN-01,combination,82,2.74,3.2,69.6,-3.2,2.224,2.636,2.483,587,0.151,0
SKU-0066,WH-SIN-01,combination,565,18.826,12.4,55.0,12.4,16.784,23.334,16.068,6240,0.0,0
SKU-0067,WH-SIN-01,combination,3183,106.099,1.7,25.2,1.7,41.747,115.178,46.145,28305,0.0,0
SKU-0068,WH-SIN-01,combination,422,14.082,16.9,44.7,-16.9,9.993,14.584,14.49,3296,0.008,0
SKU-0069,WH-SIN-01,combination,4965,165.509,52.5,59.1,52.5,182.249,204.066,157.345,57384,0.0,0
SKU-0070,WH-SIN-01,combination,1679,55.972,9.0,33.2,-9.0,30.157,58.907,35.072,13060,0.0,0
SKU-0071,WH-SIN-01,combination,792,26.41,10.1,56.9,10.1,24.823,28.507,22.474,6664,0.0,0
SKU-0072,WH-SIN-01,combination,2279,75.981,11.3,31.8,11.3,38.108,67.901,44.572,15324,0.0,0
SKU-0073,WH-SIN-01,combination,1737,57.91,25.9,55.3,25.9,43.544,65.485,46.441,15895,0.0,0
SKU-0074,WH-SIN-01,combination,604,20.142,6.2,42.6,6.2,16.433,22.51,19.835,5325,0.008,0
SKU-0075,WH-SIN-01,combination,514,17.117,4.5,31.2,-4.5,7.041,13.781,7.645,3182,0.0,0
SKU-0076,WH-SIN-01,seasonal_index,239,7.962,19.6,60.4,-19.6,6.452,6.858,5.843,1663,0.096,0
SKU-0077,WH-SIN-01,combination,162,5.399,5.0,44.2,-5.0,3.089,5.112,3.87,1140,0.079,0
SKU-0078,WH-SIN-01,combination,873,29.113,12.9,49.7,12.9,17.329,31.381,22.785,7181,0.0,0
SKU-0079,WH-SIN-01,holt_winters,173,5.769,11.5,58.2,11.5,3.738,4.789,3.404,1212,0.047,0
SKU-0080,WH-SIN-01,combination,2438,81.272,10.7,40.9,-10.7,49.483,87.318,53.598,20428,0.0,0
SKU-0081,WH-SIN-01,combination,198,6.598,0.8,43.3,-0.8,3.833,6.638,4.393,1678,0.016,0
SKU-0082,WH-SIN-01,combination,1086,36.199,11.8,35.3,-11.8,18.452,40.268,24.812,9441,0.0,0
SKU-0083,WH-SIN-01,combination,3618,120.614,17.2,39.9,17.2,72.138,146.647,92.929,35080,0.0,0
SKU-0084,WH-SIN-01,combination,6737,224.566,13.6,33.8,-13.6,82.79,175.66,111.602,37641,0.0,0
SKU-0085,WH-SIN-01,combination,1135,37.817,4.1,44.1,-4.1,17.05,32.753,21.392,6645,0.0,0
SKU-0086,WH-SIN-01,seasonal_index,143,4.754,26.2,62.5,-26.2,2.137,3.019,2.218,667,0.09,0
SKU-0087,WH-SIN-01,combination,1401,46.711,18.2,31.5,-18.2,19.431,41.068,21.536,9588,0.0,0
SKU-0088,WH-SIN-01,combination,149,4.951,19.1,55.3,19.1,4.2,6.907,5.28,1866,0.03,0
SKU-0089,WH-SIN-01,combination,490,16.319,10.0,36.0,-10.0,7.281,13.814,7.083,3057,0.0,0
SKU-0090,WH-SIN-01,seasonal_index,3354,111.806,13.2,30.7,-13.2,56.44,113.101,58.899,26932,0.0,0
SKU-0091,WH-SIN-01,combination,2031,67.695,2.7,39.9,-2.7,39.162,70.638,48.797,15220,0.0,0
SKU-0092,WH-SIN-01,seasonal_index,77,2.56,8.3,66.7,8.3,2.23,3.244,2.582,786,0.096,0
SKU-0093,WH-SIN-01,combination,233,7.751,7.2,62.2,7.2,5.486,7.384,5.416,1748,0.019,0
SKU-0094,WH-SIN-01,combination,391,13.019,3.1,46.1,-3.1,8.168,12.899,8.655,3223,0.011,0
SKU-0095,WH-SIN-01,combination,136,4.539,6.5,52.9,-6.5,3.364,3.929,3.593,925,0.121,0
SKU-0096,WH-SIN-01,seasonal_index,83,2.753,9.5,71.9,9.5,4.188,3.655,3.598,944,0.115,0
SKU-0097,WH-SIN-01,combination,265,8.832,23.5,63.1,23.5,9.492,10.441,9.109,2638,0.033,0
SKU-0098,WH-SIN-01,combination,4814,160.45,0.3,31.4,-0.3,63.734,132.871,81.728,29517,0.0,0
SKU-0099,WH-SIN-01,combination,1263,42.098,74.6,81.0,74.6,46.119,51.455,38.498,13532,0.0,0
SKU-0100,WH-SIN-01,croston_sba,16,0.542,27.9,109.6,-27.9,0.735,0.616,0.884,127,0.578,1
SKU-0101,WH-SIN-01,seasonal_index,300,10.016,48.0,78.7,48.0,11.605,16.348,12.369,4487,0.003,0
SKU-0102,WH-SIN-01,seasonal_index,291,9.689,8.8,51.2,-8.8,6.956,9.899,6.515,2568,0.016,0
SKU-0103,WH-SIN-01,ma28,421,14.036,36.8,62.9,36.8,11.541,15.016,10.555,3677,0.005,0
SKU-0104,WH-SIN-01,combination,2012,67.057,28.8,57.6,28.8,63.899,65.167,54.259,17914,0.0,0
SKU-0105,WH-SIN-01,holt_winters,117,3.905,24.9,52.2,-24.9,3.074,3.781,2.973,889,0.074,0
SKU-0106,WH-SIN-01,combination,137,4.583,2.6,56.7,-2.6,3.067,4.082,3.363,981,0.096,0
SKU-0107,WH-SIN-01,combination,737,24.565,16.8,50.9,16.8,16.24,27.23,16.6,6823,0.0,0
SKU-0108,WH-SIN-01,holt_winters,87,2.905,5.5,45.7,-5.5,2.138,2.271,2.332,582,0.238,0
SKU-0109,WH-SIN-01,combination,5057,168.55,10.7,31.2,-10.7,75.599,159.479,84.421,36763,0.0,0
SKU-0110,WH-SIN-01,combination,1396,46.545,22.5,30.0,-22.5,17.411,29.43,18.366,7343,0.0,0
SKU-0111,WH-SIN-01,combination,1888,62.94,27.8,52.7,27.8,34.919,52.403,30.317,12765,0.0,0
SKU-0112,WH-SIN-01,seasonal_index,321,10.714,7.3,33.8,7.3,7.715,11.214,7.16,3004,0.003,0
SKU-0113,WH-SIN-01,combination,898,29.917,7.7,50.2,-7.7,20.33,28.863,21.927,6297,0.003,0
SKU-0114,WH-SIN-01,combination,646,21.53,11.4,47.3,-11.4,11.762,19.052,15.303,4123,0.003,0
SKU-0115,WH-SIN-01,combination,541,18.027,2.7,38.2,2.7,9.176,17.082,9.143,4366,0.0,0
SKU-0116,WH-SIN-01,combination,1609,53.634,4.9,38.7,4.9,24.736,52.353,31.024,11836,0.0,0
SKU-0117,WH-SIN-01,seasonal_index,1353,45.085,16.9,31.0,16.9,20.514,41.233,19.985,9935,0.0,0
SKU-0118,WH-SIN-01,seasonal_index,66,2.215,26.0,89.7,26.0,1.66,1.882,1.985,415,0.266,0
SKU-0119,WH-SIN-01,seasonal_index,391,13.022,21.9,47.8,21.9,9.494,15.123,9.258,3609,0.0,0
SKU-0120,WH-SIN-01,seasonal_index,235,7.839,27.3,60.6,-27.3,6.906,7.195,6.009,1870,0.044,0
