SKU_ID,Warehouse_ID,Warehouse_Name,Product_Category,ABC_Class,Supplier_ID,Unit_Cost,Unit_Price,Lead_Time_Days,Lead_Time_Variability_Days,Avg_Daily_Demand,Demand_Std_Dev,Units_Sold_YTD,Current_Stock,Stockout_Events_YTD,Avg_Stockout_Duration_Days,Units_Lost_YTD,Holding_Cost_Per_Unit,Static_Reorder_Point,Demand_Forecast_AI,AI_Reorder_Point,Static_Order_Qty_Units,AI_Order_Qty_Units,Forecast_Model,Forecast_MAPE_Pct,Forecast_Bias_Pct,Forecast_Sigma_Daily,Is_Intermittent,Reorder_Flag,Snapshot_Date
SKU-0001,WH-BTM-03,Batam,FMCG Household,C,SUP-003,0.71,0.93,11,1.5,21.775,16.063,5589,4365,0,0.0,0,0.15,862,610,324,7634,6906,seasonal_index,7.8,-7.8,18.438,0,0,2026-08-31
SKU-0002,WH-BTM-03,Batam,Medical Supplies,C,SUP-019,9.02,12.35,17,4.5,1.666,1.463,427,494,0,0.0,0,1.39,61,62,46,694,627,combination,12.3,-12.3,1.612,0,0,2026-08-31
SKU-0003,WH-BTM-03,Batam,FMCG Household,C,SUP-025,1.74,3.87,14,3.2,6.844,4.189,1772,2464,0,0.0,0,0.27,177,194,119,3190,2886,seasonal_index,0.1,-0.1,4.572,0,0,2026-08-31
SKU-0004,WH-BTM-03,Batam,Automotive Parts,B,SUP-039,13.13,16.91,35,8.1,29.995,15.039,5949,0,3,16.0,1415,2.02,620,800,1073,2442,2209,combination,14.8,14.8,14.427,0,1,2026-08-31
SKU-0005,WH-BTM-03,Batam,Consumer Electronics,C,SUP-022,24.26,34.06,21,7.0,4.373,3.577,1118,304,2,10.0,116,3.74,72,118,111,685,620,combination,11.4,11.4,3.776,0,0,2026-08-31
SKU-0006,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-014,10.71,13.93,36,9.2,2.608,2.169,560,387,3,7.0,74,1.65,70,49,76,797,721,combination,26.5,26.5,1.755,0,0,2026-08-31
SKU-0007,WH-BTM-03,Batam,FMCG Household,C,SUP-023,0.55,0.74,11,2.0,144.726,75.022,35069,22803,0,0.0,0,0.15,6741,4818,2183,19682,17803,combination,4.1,-4.1,76.259,0,0,2026-08-31
SKU-0008,WH-BTM-03,Batam,FMCG Household,A,SUP-008,3.56,6.39,11,2.2,734.304,474.043,189165,22816,0,0.0,0,0.55,24577,20038,10173,23153,20942,combination,46.3,46.3,517.954,0,0,2026-08-31
SKU-0009,WH-BTM-03,Batam,Consumer Electronics,B,SUP-004,54.11,78.08,24,3.2,4.693,3.757,1083,79,0,0.0,0,8.33,126,198,190,476,430,snaive,9.5,-9.5,3.845,0,1,2026-08-31
SKU-0010,WH-BTM-03,Batam,Medical Supplies,C,SUP-028,11.31,19.67,27,4.0,9.789,6.718,2376,514,0,0.0,0,1.74,330,296,328,1503,1359,seasonal_index,3.5,3.5,7.107,0,0,2026-08-31
SKU-0011,WH-BTM-03,Batam,Industrial Components,C,SUP-040,8.53,15.03,33,4.5,6.2,6.077,1350,2,0,0.0,0,1.31,126,185,239,1378,1247,combination,6.6,6.6,3.823,0,1,2026-08-31
SKU-0012,WH-BTM-03,Batam,Apparel & Textiles,A,SUP-034,8.89,18.75,27,8.2,67.822,39.291,16467,3211,3,5.3,1505,1.37,1942,1218,1359,4458,4033,seasonal_index,68.8,68.8,30.735,0,0,2026-08-31
SKU-0013,WH-BTM-03,Batam,Automotive Parts,C,SUP-024,10.62,13.65,38,10.5,1.633,1.781,387,420,3,2.0,17,1.64,51,50,80,632,572,combination,4.6,-4.6,1.631,0,0,2026-08-31
SKU-0014,WH-BTM-03,Batam,FMCG Household,C,SUP-002,1.85,3.91,10,2.3,27.573,17.471,6401,6484,0,0.0,0,0.28,828,786,337,6288,5688,combination,2.3,-2.3,14.461,0,0,2026-08-31
SKU-0015,WH-BTM-03,Batam,Medical Supplies,A,SUP-040,25.96,46.6,20,3.9,32.23,21.329,7665,1084,0,0.0,0,4.0,1154,880,730,1799,1627,combination,8.1,-8.1,19.55,0,0,2026-08-31
SKU-0016,WH-BTM-03,Batam,Industrial Components,B,SUP-018,38.84,53.84,29,7.7,14.066,9.505,3302,712,1,1.0,7,5.98,462,398,454,972,879,combination,2.3,2.3,7.815,0,0,2026-08-31
SKU-0017,WH-BTM-03,Batam,Medical Supplies,B,SUP-012,21.3,42.45,19,5.8,6.227,3.68,1631,128,0,0.0,0,3.28,218,167,135,873,790,combination,11.8,11.8,4.129,0,1,2026-08-31
SKU-0018,WH-BTM-03,Batam,Consumer Electronics,B,SUP-036,24.1,51.06,27,8.6,10.874,7.753,2595,259,2,3.5,81,3.71,283,244,284,1085,981,seasonal_index,0.7,0.7,7.595,0,1,2026-08-31
SKU-0019,WH-BTM-03,Batam,FMCG Household,C,SUP-030,3.04,4.42,14,3.3,4.671,3.192,1127,1463,0,0.0,0,0.47,171,175,103,1998,1807,seasonal_index,1.3,1.3,3.42,0,0,2026-08-31
SKU-0020,WH-BTM-03,Batam,Automotive Parts,B,SUP-030,38.15,84.92,33,10.1,3.211,2.93,772,131,0,0.0,0,5.88,133,96,134,468,424,combination,30.2,30.2,3.0,0,1,2026-08-31
SKU-0021,WH-BTM-03,Batam,FMCG Household,C,SUP-012,1.94,3.15,10,2.3,21.759,9.954,5540,679,0,0.0,0,0.3,527,682,283,5396,4881,seasonal_index,16.8,-16.8,10.776,0,0,2026-08-31
SKU-0022,WH-BTM-03,Batam,Industrial Components,B,SUP-040,26.07,46.32,45,9.8,5.559,4.991,1259,221,2,13.0,154,4.01,138,133,247,746,675,seasonal_index,10.3,10.3,4.247,0,1,2026-08-31
SKU-0023,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-019,1.34,3.15,39,12.3,4.781,3.799,1328,3020,1,9.0,42,0.21,188,122,203,3023,2735,seasonal_index,0.5,-0.5,4.277,0,0,2026-08-31
SKU-0024,WH-BTM-03,Batam,FMCG Household,C,SUP-022,1.27,1.95,13,2.6,31.69,13.647,7694,1327,0,0.0,0,0.2,930,958,507,7976,7215,snaive,13.9,-13.9,15.541,0,0,2026-08-31
SKU-0025,WH-BTM-03,Batam,FMCG Household,B,SUP-031,2.44,5.01,10,2.0,73.249,43.149,17910,6974,0,0.0,0,0.38,2920,2211,961,8797,7958,seasonal_index,2.8,2.8,43.142,0,0,2026-08-31
