SKU_ID,Warehouse_ID,Warehouse_Name,Product_Category,ABC_Class,Supplier_ID,Unit_Cost,Unit_Price,Lead_Time_Days,Lead_Time_Variability_Days,Holding_Cost_Per_Unit
SKU-0001,WH-BTM-03,Batam,FMCG Household,C,SUP-003,0.71,0.93,11,1.5,0.15
SKU-0002,WH-BTM-03,Batam,Medical Supplies,C,SUP-019,9.02,12.35,17,4.5,1.39
SKU-0003,WH-BTM-03,Batam,FMCG Household,C,SUP-025,1.74,3.87,14,3.2,0.27
SKU-0004,WH-BTM-03,Batam,Automotive Parts,B,SUP-039,13.13,16.91,35,8.1,2.02
SKU-0005,WH-BTM-03,Batam,Consumer Electronics,C,SUP-022,24.26,34.06,21,7.0,3.74
SKU-0006,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-014,10.71,13.93,36,9.2,1.65
SKU-0007,WH-BTM-03,Batam,FMCG Household,C,SUP-023,0.55,0.74,11,2.0,0.15
SKU-0008,WH-BTM-03,Batam,FMCG Household,A,SUP-008,3.56,6.39,11,2.2,0.55
SKU-0009,WH-BTM-03,Batam,Consumer Electronics,B,SUP-004,54.11,78.08,24,3.2,8.33
SKU-0010,WH-BTM-03,Batam,Medical Supplies,C,SUP-028,11.31,19.67,27,4.0,1.74
SKU-0011,WH-BTM-03,Batam,Industrial Components,C,SUP-040,8.53,15.03,33,4.5,1.31
SKU-0012,WH-BTM-03,Batam,Apparel & Textiles,A,SUP-034,8.89,18.75,27,8.2,1.37
SKU-0013,WH-BTM-03,Batam,Automotive Parts,C,SUP-024,10.62,13.65,38,10.5,1.64
SKU-0014,WH-BTM-03,Batam,FMCG Household,C,SUP-002,1.85,3.91,10,2.3,0.28
SKU-0015,WH-BTM-03,Batam,Medical Supplies,A,SUP-040,25.96,46.6,20,3.9,4.0
SKU-0016,WH-BTM-03,Batam,Industrial Components,B,SUP-018,38.84,53.84,29,7.7,5.98
SKU-0017,WH-BTM-03,Batam,Medical Supplies,B,SUP-012,21.3,42.45,19,5.8,3.28
SKU-0018,WH-BTM-03,Batam,Consumer Electronics,B,SUP-036,24.1,51.06,27,8.6,3.71
SKU-0019,WH-BTM-03,Batam,FMCG Household,C,SUP-030,3.04,4.42,14,3.3,0.47
SKU-0020,WH-BTM-03,Batam,Automotive Parts,B,SUP-030,38.15,84.92,33,10.1,5.88
SKU-0021,WH-BTM-03,Batam,FMCG Household,C,SUP-012,1.94,3.15,10,2.3,0.3
SKU-0022,WH-BTM-03,Batam,Industrial Components,B,SUP-040,26.07,46.32,45,9.8,4.01
SKU-0023,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-019,1.34,3.15,39,12.3,0.21
SKU-0024,WH-BTM-03,Batam,FMCG Household,C,SUP-022,1.27,1.95,13,2.6,0.2
SKU-0025,WH-BTM-03,Batam,FMCG Household,B,SUP-031,2.44,5.01,10,2.0,0.38
SKU-0026,WH-BTM-03,Batam,Consumer Electronics,B,SUP-027,16.01,24.06,27,4.8,2.47
SKU-0027,WH-BTM-03,Batam,Medical Supplies,C,SUP-007,6.15,12.49,19,4.4,0.95
SKU-0028,WH-BTM-03,Batam,Consumer Electronics,A,SUP-013,53.0,94.02,22,5.2,8.16
SKU-0029,WH-BTM-03,Batam,Consumer Electronics,B,SUP-015,61.4,87.45,26,6.9,9.46
SKU-0030,WH-BTM-03,Batam,Automotive Parts,C,SUP-038,31.13,49.34,44,9.1,4.79
SKU-0031,WH-BTM-03,Batam,FMCG Household,B,SUP-029,3.6,5.41,11,1.7,0.55
SKU-0032,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-015,13.88,18.46,34,10.8,2.14
SKU-0033,WH-BTM-03,Batam,Industrial Components,A,SUP-030,8.1,10.53,33,6.2,1.25
SKU-0034,WH-BTM-03,Batam,Industrial Components,A,SUP-030,19.14,29.21,34,11.2,2.95
