rnk,SKU_ID,Warehouse_ID,Product_Category,ABC_Class,stockout_events,stockout_days,lost_units_ytd,lost_revenue_ytd_sgd,lost_margin_ytd_sgd,forward_exposure_sgd,total_revenue_at_risk_sgd,pct_of_portfolio_risk,cumulative_pct_of_risk,risk_quartile,risk_rank_in_warehouse,recommended_action,portfolio_risk_sgd
1,SKU-0084,WH-PEN-04,Consumer Electronics,A,3,33.3,534.0,173416.64,93692.09,0.0,173416.64,2.39,2.39,1,1,Monitor,7248411.94
2,SKU-0208,WH-BTM-03,Automotive Parts,A,4,104.0,318.0,151491.79,44655.44,7359.42,158851.21,2.19,4.58,1,1,REORDER NOW,7248411.94
3,SKU-0069,WH-JHR-02,Consumer Electronics,A,3,15.6,368.0,152593.32,67121.91,0.0,152593.32,2.11,6.69,1,1,Monitor,7248411.94
4,SKU-0212,WH-PEN-04,Automotive Parts,A,2,16.0,124.0,92792.07,51041.89,38528.49,131320.57,1.81,8.5,1,2,REORDER NOW,7248411.94
5,SKU-0004,WH-BTM-03,Automotive Parts,B,8,141.6,1188.0,130575.72,29165.99,0.0,130575.72,1.8,10.3,1,2,REORDER NOW,7248411.94
6,SKU-0091,WH-BTM-03,Consumer Electronics,A,2,18.8,141.0,115090.81,60909.92,0.0,115090.81,1.59,11.89,1,3,Monitor,7248411.94
7,SKU-0109,WH-JHR-02,Consumer Electronics,A,3,9.3,155.0,101525.13,49513.67,0.0,101525.13,1.4,13.29,1,2,REORDER NOW,7248411.94
8,SKU-0109,WH-PEN-04,Consumer Electronics,A,2,9.6,140.0,91999.64,44868.1,0.0,91999.64,1.27,14.56,1,3,Monitor,7248411.94
9,SKU-0052,WH-BTM-03,Consumer Electronics,A,4,17.6,179.0,89374.37,38472.74,0.0,89374.37,1.23,15.79,1,4,Monitor,7248411.94
10,SKU-0218,WH-BTM-03,Consumer Electronics,A,5,47.5,264.0,88402.19,25406.42,0.0,88402.19,1.22,17.01,1,5,Monitor,7248411.94
11,SKU-0052,WH-PEN-04,Consumer Electronics,A,3,12.0,174.0,86736.56,37337.25,0.0,86736.56,1.2,18.21,1,4,Monitor,7248411.94
12,SKU-0098,WH-PEN-04,Consumer Electronics,A,2,25.6,229.0,81030.58,32908.51,0.0,81030.58,1.12,19.33,1,5,Monitor,7248411.94
13,SKU-0173,WH-PEN-04,Industrial Components,B,3,57.9,235.0,80345.94,40016.65,0.0,80345.94,1.11,20.44,1,6,Monitor,7248411.94
14,SKU-0125,WH-PEN-04,Consumer Electronics,A,1,9.7,171.0,80061.42,28972.31,0.0,80061.42,1.1,21.54,1,7,REORDER NOW,7248411.94
15,SKU-0098,WH-BTM-03,Consumer Electronics,A,2,19.6,202.0,71396.88,28996.02,2758.55,74155.43,1.02,22.56,1,6,REORDER NOW,7248411.94
16,SKU-0192,WH-PEN-04,Industrial Components,B,9,107.1,226.0,71861.96,19981.24,0.0,71861.96,0.99,23.55,1,8,Monitor,7248411.94
17,SKU-0109,WH-SIN-01,Consumer Electronics,A,2,9.6,105.0,68731.74,33520.38,0.0,68731.74,0.95,24.5,1,1,REORDER NOW,7248411.94
18,SKU-0128,WH-BTM-03,Consumer Electronics,A,3,14.4,96.0,66623.54,31075.79,0.0,66623.54,0.92,25.42,1,7,REORDER NOW,7248411.94
19,SKU-0029,WH-BTM-03,Consumer Electronics,A,6,18.6,81.0,47929.47,14277.38,16320.07,64249.53,0.89,26.31,1,8,REORDER NOW,7248411.94
20,SKU-0072,WH-BTM-03,Industrial Components,A,3,22.8,206.0,43956.23,20392.81,19639.86,63596.1,0.88,27.19,1,9,REORDER NOW,7248411.94
21,SKU-0122,WH-BTM-03,Automotive Parts,B,9,84.6,250.0,61109.02,23731.92,0.0,61109.02,0.84,28.03,1,10,Monitor,7248411.94
22,SKU-0051,WH-SIN-01,Consumer Electronics,A,5,11.0,71.0,60870.99,35153.71,0.0,60870.99,0.84,28.87,1,2,Monitor,7248411.94
23,SKU-0051,WH-BTM-03,Consumer Electronics,A,3,14.4,70.0,59487.13,34354.51,0.0,59487.13,0.82,29.69,1,11,Monitor,7248411.94
24,SKU-0140,WH-BTM-03,Consumer Electronics,A,4,17.6,107.0,59259.71,18571.67,0.0,59259.71,0.82,30.51,1,12,REORDER NOW,7248411.94
25,SKU-0069,WH-PEN-04,Consumer Electronics,A,5,11.0,138.0,57239.69,25178.28,0.0,57239.69,0.79,31.3,1,9,REORDER NOW,7248411.94
