review_segment,revenue_rank,slowest_turn_rank,SKU_ID,Product_Category,ABC_Class,warehouse_count,units_sold_ytd,annual_revenue_sgd,annual_cogs_sgd,static_avg_inventory_sgd,ai_avg_inventory_sgd,turnover_static,turnover_ai,turnover_uplift,days_on_hand_ai,category_avg_turnover,variance_vs_category,rank_in_category,turnover_quartile,stockout_events_ytd,avg_forecast_mape_pct,turnover_assessment
SLOWEST TURNING,227,14,SKU-0152,FMCG Household,C,4,4618,83446.12,35514.89,16777.68,13211.6,2.12,2.69,0.57,135.8,5.67,-2.99,42,4,1,11.4,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,231,12,SKU-0003,FMCG Household,C,4,1951,74054.1,33261.34,16062.97,12669.32,2.07,2.63,0.55,139.0,5.67,-3.05,43,4,7,10.8,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,234,11,SKU-0100,Apparel & Textiles,C,4,375,70746.91,36561.96,15978.89,14044.58,2.29,2.6,0.32,140.2,5.61,-3.01,20,4,11,7.8,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,238,9,SKU-0105,FMCG Household,C,4,886,61803.42,28945.4,15242.62,11947.49,1.9,2.42,0.52,150.7,5.67,-3.25,44,4,1,10.0,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,240,13,SKU-0169,Industrial Components,C,4,666,50878.84,34262.69,14527.14,13005.07,2.36,2.63,0.28,138.5,8.01,-5.37,42,4,5,8.3,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,241,4,SKU-0023,Apparel & Textiles,C,4,1603,50539.69,21501.64,11291.36,10432.56,1.9,2.06,0.16,177.1,5.61,-3.55,22,4,21,16.3,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,242,15,SKU-0159,FMCG Household,C,4,3838,49693.41,37010.64,16849.03,13552.36,2.2,2.73,0.53,133.7,5.67,-2.94,41,4,1,12.5,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,243,8,SKU-0168,FMCG Household,C,4,1330,47026.72,24232.55,13260.39,10628.18,1.83,2.28,0.45,160.1,5.67,-3.39,45,4,2,13.4,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,244,10,SKU-0232,Industrial Components,C,4,1180,46100.85,32435.43,14341.16,12609.98,2.26,2.57,0.31,141.9,8.01,-5.44,43,4,5,15.5,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,245,7,SKU-0229,Automotive Parts,C,4,516,42574.14,23662.63,11926.85,10944.09,1.98,2.16,0.18,168.8,7.52,-5.36,40,4,7,8.5,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,246,5,SKU-0170,Apparel & Textiles,C,4,554,32919.46,21277.82,11397.57,10252.8,1.87,2.08,0.21,175.9,5.61,-3.54,21,4,9,6.1,"CRITICAL - capital trapped, review order policy"
SLOWEST TURNING,247,3,SKU-0108,Industrial Components,C,4,492,29198.38,20625.83,11145.3,10287.35,1.85,2.0,0.15,182.0,8.01,-6.0,44,4,9,12.5,"CRITICAL - capital trapped, review order policy"
